title,link
Plastic Bottle Craft DIY Ideas | Best Out of Waste Bottle | Ide Kreatif Botol Plastik Bekas Aqua/PET,https://youtu.be/XSP2ldMx2yQ
5 Kerajinan Unik Dari Botol Plastik Bekas/PET Kreasi Tak Terpikirkan Sebelumnya,https://youtu.be/wc_ayTNgv3Q
Plastic Bottle/PET Flower Vase Making - Look Like Ceramic Vase,https://youtu.be/QiAxlOLZMxY
Dari Sampah Tutup Botol Plastik/PET Menghasilkan Ratusan Juta Kok Bisa?,https://youtu.be/wSRQgHF6GPQ
Ide Kreatif Tas Belanja dari Tutup Botol Plastik/PET Bekas,https://youtu.be/MqcjUWwCsFg
2 Flowers from Plastic Bottle/PET,https://youtu.be/3INT9_uBGIc
4 Recycling Ideas Using Used Plastic Bottles/PET,https://youtu.be/Pw5SHeNVCPI
5 Ide yang Cocok Untuk Tugas Prakarya Sekolah Daur Ulang Botol Plastik Bekas/PET yang Mudah Dibuat,https://youtu.be/vBaxYMUVKWQ
Membuat Kerajinan dari Botol Bekas/Plastic Bottle/PET Craft Ideas,https://youtu.be/lqTF29hk48c
Cara Membuat Celengan dari Botol Bekas/PET yang Bikin Tetangga Nyinyir,https://youtu.be/JQocEeIuKxM
Cara Membuat Mobil Karet Bertenaga dari Botol Plastik/PET Bekas,https://youtu.be/HhjLliBtT-Q
32 Genius Ways to Recycle Plastic/PET,https://youtu.be/Sr6DgQ18drA
38 Creative Ideas with Plastic Bottles/PET,https://youtu.be/xEAOvFG1AmM
16 Ideas with Plastic Bottles/PET,https://youtu.be/rsnNciAnY9Y
Plastic Bottle/PET Waterfall Fountain Making Easy at Home,https://youtu.be/IFZS5ZOEj4k
